Book Name,Page No,Image URL,Status Code
"Baa, Baa, Black Sheep (Bb)",1,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_1.jpg,Accessible
"Baa, Baa, Black Sheep (Bb)",2,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_2.jpg,Accessible
"Baa, Baa, Black Sheep (Bb)",3,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_3.jpg,Accessible
"Baa, Baa, Black Sheep (Bb)",4,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_4.jpg,Accessible
"Baa, Baa, Black Sheep (Bb)",5,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_5.jpg,Accessible
"Baa, Baa, Black Sheep (Bb)",6,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_6.jpg,Accessible
"Baa, Baa, Black Sheep (Bb)",7,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_7.jpg,Accessible
"Baa, Baa, Black Sheep (Bb)",8,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_8.jpg,Accessible
Mary Had a Little Lamb (Ll),1,https://augie-read.s3.eu-west-2.amazonaws.com/books/Mary_had_a_little_lamb_1.jpg,Accessible
Mary Had a Little Lamb (Ll),2,https://augie-read.s3.eu-west-2.amazonaws.com/books/Mary_had_a_little_lamb_2.jpg,Accessible
Mary Had a Little Lamb (Ll),3,https://augie-read.s3.eu-west-2.amazonaws.com/books/Mary_had_a_little_lamb_3.jpg,Accessible
Mary Had a Little Lamb (Ll),4,https://augie-read.s3.eu-west-2.amazonaws.com/books/Mary_had_a_little_lamb_4.jpg,Accessible
Mary Had a Little Lamb (Ll),5,https://augie-read.s3.eu-west-2.amazonaws.com/books/Mary_had_a_little_lamb_5.jpg,Accessible
Mary Had a Little Lamb (Ll),6,https://augie-read.s3.eu-west-2.amazonaws.com/books/Mary_had_a_little_lamb_6.jpg,Accessible
Mary Had a Little Lamb (Ll),7,https://augie-read.s3.eu-west-2.amazonaws.com/books/Mary_had_a_little_lamb_7.jpg,Accessible
Mary Had a Little Lamb (Ll),8,https://augie-read.s3.eu-west-2.amazonaws.com/books/Mary_had_a_little_lamb_8.jpg,Accessible
This Little Piggy (Pp),1,https://augie-read.s3.eu-west-2.amazonaws.com/books/This_little_piggy_1.jpg,Not Accessible
This Little Piggy (Pp),2,https://augie-read.s3.eu-west-2.amazonaws.com/books/This_little_piggy_2.jpg,Not Accessible
