Book Name,Page No,Image URL,Status Code
"Baa, Baa, Black Sheep (Bb)",1,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_1.jpg,200
"Baa, Baa, Black Sheep (Bb)",2,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_2.jpg,200
"Baa, Baa, Black Sheep (Bb)",3,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_3.jpg,200
"Baa, Baa, Black Sheep (Bb)",4,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_4.jpg,200
"Baa, Baa, Black Sheep (Bb)",5,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_5.jpg,200
"Baa, Baa, Black Sheep (Bb)",6,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_6.jpg,200
"Baa, Baa, Black Sheep (Bb)",7,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_7.jpg,200
"Baa, Baa, Black Sheep (Bb)",8,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_8.jpg,200
Mela's Water Pot,1,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,2,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,3,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,4,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,5,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,6,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,7,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,8,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,9,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,10,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,11,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,12,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,13,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,14,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,15,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,16,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,17,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,18,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,19,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,20,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,21,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,22,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,23,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,24,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,25,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,26,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,27,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,28,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,29,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,30,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,31,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,32,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,33,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,34,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,35,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,36,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,37,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,38,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,39,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,40,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,41,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,42,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Mela's Water Pot,43,https://augie-read.s3.eu-west-2.amazonaws.com/books/generic_book_image.png,200
Twenty Clay Children,1,https://augie-read.s3.eu-west-2.amazonaws.com/books/Twenty_Clay_Children_2.jpg,200
Twenty Clay Children,2,https://augie-read.s3.eu-west-2.amazonaws.com/books/Twenty_Clay_Children_2.jpg,200
Twenty Clay Children,3,https://augie-read.s3.eu-west-2.amazonaws.com/books/Twenty_Clay_Children_3.jpg,200
Twenty Clay Children,4,https://augie-read.s3.eu-west-2.amazonaws.com/books/Twenty_Clay_Children_3.jpg,200
Twenty Clay Children,5,https://augie-read.s3.eu-west-2.amazonaws.com/books/Twenty_Clay_Children_4.jpg,200
Twenty Clay Children,6,https://augie-read.s3.eu-west-2.amazonaws.com/books/Twenty_Clay_Children_4.jpg,200
Twenty Clay Children,7,https://augie-read.s3.eu-west-2.amazonaws.com/books/Twenty_Clay_Children_5.jpg,200
Twenty Clay Children,8,https://augie-read.s3.eu-west-2.amazonaws.com/books/Twenty_Clay_Children_5.jpg,200
Twenty Clay Children,9,https://augie-read.s3.eu-west-2.amazonaws.com/books/Twenty_Clay_Children_6.jpg,200
Twenty Clay Children,10,https://augie-read.s3.eu-west-2.amazonaws.com/books/Twenty_Clay_Children_6.jpg,200
Twenty Clay Children,11,https://augie-read.s3.eu-west-2.amazonaws.com/books/Twenty_Clay_Children_7.jpg,200
Twenty Clay Children,12,https://augie-read.s3.eu-west-2.amazonaws.com/books/Twenty_Clay_Children_8.jpg,200
Twenty Clay Children,13,https://augie-read.s3.eu-west-2.amazonaws.com/books/Twenty_Clay_Children_8.jpg,200
Twenty Clay Children,14,https://augie-read.s3.eu-west-2.amazonaws.com/books/Twenty_Clay_Children_9.jpg,200
Twenty Clay Children,15,https://augie-read.s3.eu-west-2.amazonaws.com/books/Twenty_Clay_Children_9.jpg,200
Twenty Clay Children,16,https://augie-read.s3.eu-west-2.amazonaws.com/books/Twenty_Clay_Children_10.jpg,200
Twenty Clay Children,17,https://augie-read.s3.eu-west-2.amazonaws.com/books/Twenty_Clay_Children_10.jpg,200
