Book Name,Page No,Image URL,Status Code
I Want to Be a Scientist Like Orville & Wilbur Wright,1,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_2.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,2,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_2.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,3,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_2.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,4,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_3.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,5,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_3.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,6,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_4.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,7,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_4.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,8,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_5.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,9,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_5.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,10,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_6.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,11,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_6.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,12,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_6.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,13,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_7.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,14,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_7.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,15,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_7.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,16,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_7.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,17,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_8.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,18,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_8.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,19,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_8.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,20,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_9.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,21,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_9.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,22,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_9.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,23,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_10.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,24,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_10.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,25,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_11.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,26,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_11.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,27,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_12.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,28,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_13.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,29,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_13.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,30,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,31,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,32,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,33,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,34,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,35,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,36,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,37,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,38,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,39,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,40,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,41,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,42,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,43,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,44,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,45,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,46,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,47,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,48,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,49,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,50,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,51,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,52,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,53,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,54,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,55,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,56,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,57,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
I Want to Be a Scientist Like Orville & Wilbur Wright,58,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_Orville__Wilbur_Wright_14.jpg,200
Guess What I Am,1,https://augie-read.s3.eu-west-2.amazonaws.com/books/Guess_What_I_Am_3.jpg,200
Guess What I Am,2,https://augie-read.s3.eu-west-2.amazonaws.com/books/Guess_What_I_Am_3.jpg,200
Guess What I Am,3,https://augie-read.s3.eu-west-2.amazonaws.com/books/Guess_What_I_Am_4.jpg,200
Guess What I Am,4,https://augie-read.s3.eu-west-2.amazonaws.com/books/Guess_What_I_Am_5.jpg,200
Guess What I Am,5,https://augie-read.s3.eu-west-2.amazonaws.com/books/Guess_What_I_Am_6.jpg,200
Guess What I Am,6,https://augie-read.s3.eu-west-2.amazonaws.com/books/Guess_What_I_Am_7.jpg,200
Guess What I Am,7,https://augie-read.s3.eu-west-2.amazonaws.com/books/Guess_What_I_Am_8.jpg,200
Guess What I Am,8,https://augie-read.s3.eu-west-2.amazonaws.com/books/Guess_What_I_Am_9.jpg,200
Guess What I Am,9,https://augie-read.s3.eu-west-2.amazonaws.com/books/Guess_What_I_Am_10.jpg,200
Guess What I Am,10,https://augie-read.s3.eu-west-2.amazonaws.com/books/Guess_What_I_Am_11.jpg,200
Guess What I Am,11,https://augie-read.s3.eu-west-2.amazonaws.com/books/Guess_What_I_Am_12.jpg,200
I Want to Be a Scientist Like George Washington Carver,1,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_George_Washington_Carver_2.jpg,200
I Want to Be a Scientist Like George Washington Carver,2,https://augie-read.s3.eu-west-2.amazonaws.com/books/I_Want_to_Be_a_Scientist_Like_George_Washington_Carver_2.jpg,200
