Book Name,Page No,Image URL,Status Code
"Baa, Baa, Black Sheep (Bb)",1,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_1.jpg,200
"Baa, Baa, Black Sheep (Bb)",2,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_2.jpg,200
"Baa, Baa, Black Sheep (Bb)",3,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_3.jpg,200
"Baa, Baa, Black Sheep (Bb)",4,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_4.jpg,200
"Baa, Baa, Black Sheep (Bb)",5,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_5.jpg,200
"Baa, Baa, Black Sheep (Bb)",6,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_6.jpg,200
"Baa, Baa, Black Sheep (Bb)",7,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_7.jpg,200
"Baa, Baa, Black Sheep (Bb)",8,https://augie-read.s3.eu-west-2.amazonaws.com/books/Baa_baa_black_sheep_8.jpg,200
Pat-a-cake (Bb),1,https://augie-read.s3.eu-west-2.amazonaws.com/books/Patacake_1.jpg,200
Pat-a-cake (Bb),2,https://augie-read.s3.eu-west-2.amazonaws.com/books/Patacake_2.jpg,200
Pat-a-cake (Bb),3,https://augie-read.s3.eu-west-2.amazonaws.com/books/Patacake_3.jpg,200
Pat-a-cake (Bb),4,https://augie-read.s3.eu-west-2.amazonaws.com/books/Patacake_4.jpg,200
Pat-a-cake (Bb),5,https://augie-read.s3.eu-west-2.amazonaws.com/books/Patacake_5.jpg,200
Pat-a-cake (Bb),6,https://augie-read.s3.eu-west-2.amazonaws.com/books/Patacake_6.jpg,200
Pat-a-cake (Bb),7,https://augie-read.s3.eu-west-2.amazonaws.com/books/Patacake_7.jpg,200
Pat-a-cake (Bb),8,https://augie-read.s3.eu-west-2.amazonaws.com/books/Patacake_8.jpg,200
"Hey, Diddle, Diddle (Dd)",1,https://augie-read.s3.eu-west-2.amazonaws.com/books/Hey_Diddle_Diddle_1.jpg,200
"Hey, Diddle, Diddle (Dd)",2,https://augie-read.s3.eu-west-2.amazonaws.com/books/Hey_Diddle_Diddle_2.jpg,200
"Hey, Diddle, Diddle (Dd)",3,https://augie-read.s3.eu-west-2.amazonaws.com/books/Hey_Diddle_Diddle_3.jpg,200
"Hey, Diddle, Diddle (Dd)",4,https://augie-read.s3.eu-west-2.amazonaws.com/books/Hey_Diddle_Diddle_4.jpg,200
"Hey, Diddle, Diddle (Dd)",5,https://augie-read.s3.eu-west-2.amazonaws.com/books/Hey_Diddle_Diddle_5.jpg,200
Jack and Jill (Jj),1,https://augie-read.s3.eu-west-2.amazonaws.com/books/Jack_and_Jill_1.jpg,200
Jack and Jill (Jj),2,https://augie-read.s3.eu-west-2.amazonaws.com/books/Jack_and_Jill_2.jpg,200
Jack and Jill (Jj),3,https://augie-read.s3.eu-west-2.amazonaws.com/books/Jack_and_Jill_3.jpg,200
Jack and Jill (Jj),4,https://augie-read.s3.eu-west-2.amazonaws.com/books/Jack_and_Jill_4.jpg,200
Jack and Jill (Jj),5,https://augie-read.s3.eu-west-2.amazonaws.com/books/Jack_and_Jill_5.jpg,200
Jack and Jill (Jj),6,https://augie-read.s3.eu-west-2.amazonaws.com/books/Jack_and_Jill_6.jpg,200
Mary Had a Little Lamb (Ll),1,https://augie-read.s3.eu-west-2.amazonaws.com/books/Mary_had_a_little_lamb_1.jpg,200
Mary Had a Little Lamb (Ll),2,https://augie-read.s3.eu-west-2.amazonaws.com/books/Mary_had_a_little_lamb_2.jpg,200
Mary Had a Little Lamb (Ll),3,https://augie-read.s3.eu-west-2.amazonaws.com/books/Mary_had_a_little_lamb_3.jpg,200
Mary Had a Little Lamb (Ll),4,https://augie-read.s3.eu-west-2.amazonaws.com/books/Mary_had_a_little_lamb_4.jpg,200
Mary Had a Little Lamb (Ll),5,https://augie-read.s3.eu-west-2.amazonaws.com/books/Mary_had_a_little_lamb_5.jpg,200
Mary Had a Little Lamb (Ll),6,https://augie-read.s3.eu-west-2.amazonaws.com/books/Mary_had_a_little_lamb_6.jpg,200
Mary Had a Little Lamb (Ll),7,https://augie-read.s3.eu-west-2.amazonaws.com/books/Mary_had_a_little_lamb_7.jpg,200
Mary Had a Little Lamb (Ll),8,https://augie-read.s3.eu-west-2.amazonaws.com/books/Mary_had_a_little_lamb_8.jpg,200
This Little Piggy (Pp),1,https://augie-read.s3.eu-west-2.amazonaws.com/books/This_Little_Piggy_1.jpg,200
This Little Piggy (Pp),2,https://augie-read.s3.eu-west-2.amazonaws.com/books/This_Little_Piggy_2.jpg,200
This Little Piggy (Pp),3,https://augie-read.s3.eu-west-2.amazonaws.com/books/This_Little_Piggy_3.jpg,200
This Little Piggy (Pp),4,https://augie-read.s3.eu-west-2.amazonaws.com/books/This_Little_Piggy_4.jpg,200
This Little Piggy (Pp),5,https://augie-read.s3.eu-west-2.amazonaws.com/books/This_Little_Piggy_5.jpg,200
"Quack, Quack, Quack (Qq)",1,https://augie-read.s3.eu-west-2.amazonaws.com/books/Quack_Quack_Quack_1.jpg,200
"Quack, Quack, Quack (Qq)",2,https://augie-read.s3.eu-west-2.amazonaws.com/books/Quack_Quack_Quack_2.jpg,200
"Quack, Quack, Quack (Qq)",3,https://augie-read.s3.eu-west-2.amazonaws.com/books/Quack_Quack_Quack_3.jpg,200
"Quack, Quack, Quack (Qq)",4,https://augie-read.s3.eu-west-2.amazonaws.com/books/Quack_Quack_Quack_4.jpg,200
"Quack, Quack, Quack (Qq)",5,https://augie-read.s3.eu-west-2.amazonaws.com/books/Quack_Quack_Quack_5.jpg,200
"Quack, Quack, Quack (Qq)",6,https://augie-read.s3.eu-west-2.amazonaws.com/books/Quack_Quack_Quack_6.jpg,200
"Quack, Quack, Quack (Qq)",7,https://augie-read.s3.eu-west-2.amazonaws.com/books/Quack_Quack_Quack_7.jpg,200
"Quack, Quack, Quack (Qq)",8,https://augie-read.s3.eu-west-2.amazonaws.com/books/Quack_Quack_Quack_8.jpg,200
"Rock-a-bye, Baby (Rr)",1,https://augie-read.s3.eu-west-2.amazonaws.com/books/Rockabye_baby_1.jpg,200
"Rock-a-bye, Baby (Rr)",2,https://augie-read.s3.eu-west-2.amazonaws.com/books/Rockabye_baby_2.jpg,200
"Rock-a-bye, Baby (Rr)",3,https://augie-read.s3.eu-west-2.amazonaws.com/books/Rockabye_baby_3.jpg,200
"Rock-a-bye, Baby (Rr)",4,https://augie-read.s3.eu-west-2.amazonaws.com/books/Rockabye_baby_4.jpg,200
"Rock-a-bye, Baby (Rr)",5,https://augie-read.s3.eu-west-2.amazonaws.com/books/Rockabye_baby_5.jpg,200
"Rock-a-bye, Baby (Rr)",6,https://augie-read.s3.eu-west-2.amazonaws.com/books/Rockabye_baby_6.jpg,200
"Rock-a-bye, Baby (Rr)",7,https://augie-read.s3.eu-west-2.amazonaws.com/books/Rockabye_baby_7.jpg,200
"Rock-a-bye, Baby (Rr)",8,https://augie-read.s3.eu-west-2.amazonaws.com/books/Rockabye_baby_8.jpg,200
"The Itsy, Bitsy Spider (Ss)",1,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_Itsy_Bitsy_Spider_1.jpg,200
"The Itsy, Bitsy Spider (Ss)",2,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_Itsy_Bitsy_Spider_2.jpg,200
