Book Name,Page No,Image URL,Status Code
Whatever the Weather,1,https://augie-read.s3.eu-west-2.amazonaws.com/books/Whatever_the_Weather_2.jpg,200
Whatever the Weather,2,https://augie-read.s3.eu-west-2.amazonaws.com/books/Whatever_the_Weather_3.jpg,200
Whatever the Weather,3,https://augie-read.s3.eu-west-2.amazonaws.com/books/Whatever_the_Weather_4.jpg,200
Whatever the Weather,4,https://augie-read.s3.eu-west-2.amazonaws.com/books/Whatever_the_Weather_5.jpg,200
Whatever the Weather,5,https://augie-read.s3.eu-west-2.amazonaws.com/books/Whatever_the_Weather_6.jpg,200
Whatever the Weather,6,https://augie-read.s3.eu-west-2.amazonaws.com/books/Whatever_the_Weather_7.jpg,200
Whatever the Weather,7,https://augie-read.s3.eu-west-2.amazonaws.com/books/Whatever_the_Weather_8.jpg,200
Whatever the Weather,8,https://augie-read.s3.eu-west-2.amazonaws.com/books/Whatever_the_Weather_9.jpg,200
Whatever the Weather,9,https://augie-read.s3.eu-west-2.amazonaws.com/books/Whatever_the_Weather_10.jpg,200
Whatever the Weather,10,https://augie-read.s3.eu-west-2.amazonaws.com/books/Whatever_the_Weather_11.jpg,200
Whatever the Weather,11,https://augie-read.s3.eu-west-2.amazonaws.com/books/Whatever_the_Weather_12.jpg,200
Whatever the Weather,12,https://augie-read.s3.eu-west-2.amazonaws.com/books/Whatever_the_Weather_13.jpg,200
Whatever the Weather,13,https://augie-read.s3.eu-west-2.amazonaws.com/books/Whatever_the_Weather_14.jpg,200
Whatever the Weather,14,https://augie-read.s3.eu-west-2.amazonaws.com/books/Whatever_the_Weather_16.jpg,200
What Do I Spy?,1,https://augie-read.s3.eu-west-2.amazonaws.com/books/What_Do_I_Spy_1.jpg,200
What Do I Spy?,2,https://augie-read.s3.eu-west-2.amazonaws.com/books/What_Do_I_Spy_2.jpg,200
What Do I Spy?,3,https://augie-read.s3.eu-west-2.amazonaws.com/books/What_Do_I_Spy_3.jpg,200
What Do I Spy?,4,https://augie-read.s3.eu-west-2.amazonaws.com/books/What_Do_I_Spy_3.jpg,200
What Do I Spy?,5,https://augie-read.s3.eu-west-2.amazonaws.com/books/What_Do_I_Spy_3.jpg,200
What Do I Spy?,6,https://augie-read.s3.eu-west-2.amazonaws.com/books/What_Do_I_Spy_4.jpg,200
What Do I Spy?,7,https://augie-read.s3.eu-west-2.amazonaws.com/books/What_Do_I_Spy_5.jpg,200
What Do I Spy?,8,https://augie-read.s3.eu-west-2.amazonaws.com/books/What_Do_I_Spy_5.jpg,200
What Do I Spy?,9,https://augie-read.s3.eu-west-2.amazonaws.com/books/What_Do_I_Spy_5.jpg,200
What Do I Spy?,10,https://augie-read.s3.eu-west-2.amazonaws.com/books/What_Do_I_Spy_6.jpg,200
What Do I Spy?,11,https://augie-read.s3.eu-west-2.amazonaws.com/books/What_Do_I_Spy_7.jpg,200
What Do I Spy?,12,https://augie-read.s3.eu-west-2.amazonaws.com/books/What_Do_I_Spy_7.jpg,200
What Do I Spy?,13,https://augie-read.s3.eu-west-2.amazonaws.com/books/What_Do_I_Spy_7.jpg,200
What Do I Spy?,14,https://augie-read.s3.eu-west-2.amazonaws.com/books/What_Do_I_Spy_8.jpg,200
What Do I Spy?,15,https://augie-read.s3.eu-west-2.amazonaws.com/books/What_Do_I_Spy_9.jpg,200
What Do I Spy?,16,https://augie-read.s3.eu-west-2.amazonaws.com/books/What_Do_I_Spy_9.jpg,200
What Do I Spy?,17,https://augie-read.s3.eu-west-2.amazonaws.com/books/What_Do_I_Spy_9.jpg,200
What Do I Spy?,18,https://augie-read.s3.eu-west-2.amazonaws.com/books/What_Do_I_Spy_10.jpg,200
What Do I Spy?,19,https://augie-read.s3.eu-west-2.amazonaws.com/books/What_Do_I_Spy_10.jpg,200
What Do I Spy?,20,https://augie-read.s3.eu-west-2.amazonaws.com/books/What_Do_I_Spy_10.jpg,200
What Do I Spy?,21,https://augie-read.s3.eu-west-2.amazonaws.com/books/What_Do_I_Spy_10.jpg,200
Space Chase Race,1,https://augie-read.s3.eu-west-2.amazonaws.com/books/Space_Chase_Race_1.jpg,200
Space Chase Race,2,https://augie-read.s3.eu-west-2.amazonaws.com/books/Space_Chase_Race_1.jpg,200
Space Chase Race,3,https://augie-read.s3.eu-west-2.amazonaws.com/books/Space_Chase_Race_2.jpg,200
Space Chase Race,4,https://augie-read.s3.eu-west-2.amazonaws.com/books/Space_Chase_Race_2.jpg,200
Space Chase Race,5,https://augie-read.s3.eu-west-2.amazonaws.com/books/Space_Chase_Race_2.jpg,200
Space Chase Race,6,https://augie-read.s3.eu-west-2.amazonaws.com/books/Space_Chase_Race_2.jpg,200
Space Chase Race,7,https://augie-read.s3.eu-west-2.amazonaws.com/books/Space_Chase_Race_3.jpg,200
Space Chase Race,8,https://augie-read.s3.eu-west-2.amazonaws.com/books/Space_Chase_Race_4.jpg,200
Space Chase Race,9,https://augie-read.s3.eu-west-2.amazonaws.com/books/Space_Chase_Race_5.jpg,200
Space Chase Race,10,https://augie-read.s3.eu-west-2.amazonaws.com/books/Space_Chase_Race_6.jpg,200
Space Chase Race,11,https://augie-read.s3.eu-west-2.amazonaws.com/books/Space_Chase_Race_6.jpg,200
