Book Name,Page No,Image URL,Status Code
Grandpa's Great Athlete: A book about 5,1,https://augie-read.s3.eu-west-2.amazonaws.com/books/Grandpas_Great_Athlete_2.jpg,200
Grandpa's Great Athlete: A book about 5,2,https://augie-read.s3.eu-west-2.amazonaws.com/books/Grandpas_Great_Athlete_2.jpg,200
Grandpa's Great Athlete: A book about 5,3,https://augie-read.s3.eu-west-2.amazonaws.com/books/Grandpas_Great_Athlete_3.jpg,200
Grandpa's Great Athlete: A book about 5,4,https://augie-read.s3.eu-west-2.amazonaws.com/books/Grandpas_Great_Athlete_4.jpg,200
Grandpa's Great Athlete: A book about 5,5,https://augie-read.s3.eu-west-2.amazonaws.com/books/Grandpas_Great_Athlete_5.jpg,200
Grandpa's Great Athlete: A book about 5,6,https://augie-read.s3.eu-west-2.amazonaws.com/books/Grandpas_Great_Athlete_6.jpg,200
Grandpa's Great Athlete: A book about 5,7,https://augie-read.s3.eu-west-2.amazonaws.com/books/Grandpas_Great_Athlete_7.jpg,200
Grandpa's Great Athlete: A book about 5,8,https://augie-read.s3.eu-west-2.amazonaws.com/books/Grandpas_Great_Athlete_8.jpg,200
Grandpa's Great Athlete: A book about 5,9,https://augie-read.s3.eu-west-2.amazonaws.com/books/Grandpas_Great_Athlete_9.jpg,200
Grandpa's Great Athlete: A book about 5,10,https://augie-read.s3.eu-west-2.amazonaws.com/books/Grandpas_Great_Athlete_10.jpg,200
Grandpa's Great Athlete: A book about 5,11,https://augie-read.s3.eu-west-2.amazonaws.com/books/Grandpas_Great_Athlete_10.jpg,200
Grandpa's Great Athlete: A book about 5,12,https://augie-read.s3.eu-west-2.amazonaws.com/books/Grandpas_Great_Athlete_11.jpg,200
Grandpa's Great Athlete: A book about 5,13,https://augie-read.s3.eu-west-2.amazonaws.com/books/Grandpas_Great_Athlete_11.jpg,200
Grandpa's Great Athlete: A book about 5,14,https://augie-read.s3.eu-west-2.amazonaws.com/books/Grandpas_Great_Athlete_12.jpg,200
Grandpa's Great Athlete: A book about 5,15,https://augie-read.s3.eu-west-2.amazonaws.com/books/Grandpas_Great_Athlete_12.jpg,200
The Shape of Things,1,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_Shape_of_Things_2.jpg,200
The Shape of Things,2,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_Shape_of_Things_3.jpg,200
The Shape of Things,3,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_Shape_of_Things_4.jpg,200
The Shape of Things,4,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_Shape_of_Things_5.jpg,200
The Shape of Things,5,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_Shape_of_Things_6.jpg,200
The Shape of Things,6,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_Shape_of_Things_7.jpg,200
The Shape of Things,7,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_Shape_of_Things_8.jpg,200
The Shape of Things,8,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_Shape_of_Things_9.jpg,200
The Shape of Things,9,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_Shape_of_Things_10.jpg,200
The Shape of Things,10,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_Shape_of_Things_11.jpg,200
The Shape of Things,11,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_Shape_of_Things_12.jpg,200
Play Ball,1,https://augie-read.s3.eu-west-2.amazonaws.com/books/Play_Ball_1.jpg,200
Play Ball,2,https://augie-read.s3.eu-west-2.amazonaws.com/books/Play_Ball_2.jpg,200
Play Ball,3,https://augie-read.s3.eu-west-2.amazonaws.com/books/Play_Ball_3.jpg,200
Play Ball,4,https://augie-read.s3.eu-west-2.amazonaws.com/books/Play_Ball_4.jpg,200
Play Ball,5,https://augie-read.s3.eu-west-2.amazonaws.com/books/Play_Ball_5.jpg,200
Play Ball,6,https://augie-read.s3.eu-west-2.amazonaws.com/books/Play_Ball_6.jpg,200
Play Ball,7,https://augie-read.s3.eu-west-2.amazonaws.com/books/Play_Ball_7.jpg,200
Play Ball,8,https://augie-read.s3.eu-west-2.amazonaws.com/books/Play_Ball_8.jpg,200
Play Ball,9,https://augie-read.s3.eu-west-2.amazonaws.com/books/Play_Ball_9.jpg,200
Play Ball,10,https://augie-read.s3.eu-west-2.amazonaws.com/books/Play_Ball_10.jpg,200
Play Ball,11,https://augie-read.s3.eu-west-2.amazonaws.com/books/Play_Ball_11.jpg,200
Play Ball,12,https://augie-read.s3.eu-west-2.amazonaws.com/books/Play_Ball_12.jpg,200
Play Ball,13,https://augie-read.s3.eu-west-2.amazonaws.com/books/Play_Ball_13.jpg,200
Play Ball,14,https://augie-read.s3.eu-west-2.amazonaws.com/books/Play_Ball_14.jpg,200
Play Ball,15,https://augie-read.s3.eu-west-2.amazonaws.com/books/Play_Ball_15.jpg,200
The 50 Bug Ball,1,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_50_Bug_Ball_2.jpg,200
The 50 Bug Ball,2,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_50_Bug_Ball_3.jpg,200
The 50 Bug Ball,3,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_50_Bug_Ball_4.jpg,200
The 50 Bug Ball,4,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_50_Bug_Ball_5.jpg,200
The 50 Bug Ball,5,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_50_Bug_Ball_6.jpg,200
The 50 Bug Ball,6,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_50_Bug_Ball_7.jpg,200
The 50 Bug Ball,7,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_50_Bug_Ball_8.jpg,200
The 50 Bug Ball,8,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_50_Bug_Ball_9.jpg,200
The 50 Bug Ball,9,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_50_Bug_Ball_10.jpg,200
The 50 Bug Ball,10,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_50_Bug_Ball_11.jpg,200
The 50 Bug Ball,11,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_50_Bug_Ball_12.jpg,200
We All Exercise,1,https://augie-read.s3.eu-west-2.amazonaws.com/books/We_All_Exercise_2.jpg,200
We All Exercise,2,https://augie-read.s3.eu-west-2.amazonaws.com/books/We_All_Exercise_3.jpg,200
We All Exercise,3,https://augie-read.s3.eu-west-2.amazonaws.com/books/We_All_Exercise_4.jpg,200
We All Exercise,4,https://augie-read.s3.eu-west-2.amazonaws.com/books/We_All_Exercise_5.jpg,200
We All Exercise,5,https://augie-read.s3.eu-west-2.amazonaws.com/books/We_All_Exercise_6.jpg,200
We All Exercise,6,https://augie-read.s3.eu-west-2.amazonaws.com/books/We_All_Exercise_7.jpg,200
We All Exercise,7,https://augie-read.s3.eu-west-2.amazonaws.com/books/We_All_Exercise_8.jpg,200
We All Exercise,8,https://augie-read.s3.eu-west-2.amazonaws.com/books/We_All_Exercise_9.jpg,200
We All Exercise,9,https://augie-read.s3.eu-west-2.amazonaws.com/books/We_All_Exercise_10.jpg,200
We All Exercise,10,https://augie-read.s3.eu-west-2.amazonaws.com/books/We_All_Exercise_11.jpg,200
We All Exercise,11,https://augie-read.s3.eu-west-2.amazonaws.com/books/We_All_Exercise_12.jpg,200
Your Backyard,1,https://augie-read.s3.eu-west-2.amazonaws.com/books/Your_Backyard_2.jpg,200
Your Backyard,2,https://augie-read.s3.eu-west-2.amazonaws.com/books/Your_Backyard_3.jpg,200
Your Backyard,3,https://augie-read.s3.eu-west-2.amazonaws.com/books/Your_Backyard_4.jpg,200
Your Backyard,4,https://augie-read.s3.eu-west-2.amazonaws.com/books/Your_Backyard_5.jpg,200
